b3_id,cvm_id,segment,is_restructuring,most_traded_stock,stock_type,volume
SMTO,20516,sugar - alcohol,False,SMTO3,ON      NM,34768176
SNSY,12696,other materials,False,SNSY5,PNA,21622
SOJA,25704,agriculture,False,SOJA3,ON      NM,3109446
SOMA,25011,apparel. fabric and footwear,False,SOMA3,ON      NM,115764798
SOND,10880,consultive engeneering,False,SOND6,PNB,9120
SQIA,22799,software and services,False,SQIA3,ON      NM,19235482
STBP,17892,warehousing and storage,False,STBP3,ON      NM,25441039
SUZB,13986,pulp and paper,False,SUZB3,ON      NM,112143983
SYNE,21040,real estate,False,SYNE3,ON      NM,1091218
TAEE,20257,electric utilities,False,TAEE3,ON      N2,1766044
TASA,6173,weapons and munitions,False,TASA3,ON      N2,508067
TCSA,20435,real estate,False,TCSA3,ON      NM,528988
TECN,22519,accessories,False,TECN3,ON      NM,806063
TEKA,11223,fabric. thread and fibers,True,TEKA4,PN,122418
TELB,11258,telecommunications,False,TELB3,ON,21394
TEND,21148,real estate,False,TEND3,ON      NM,28227950
TFCO,25208,apparel and clothing,False,TFCO4,PN      N2,12171710
TGMA,20800,trucking,False,TGMA3,ON      NM,3686172
TIMS,24929,telecommunications,False,TIMS3,ON      NM,100321858
TOTS,19992,software and services,False,TOTS3,ON      NM,160245769
TPIS,19330,toll roads and highways,False,TPIS3,ON      NM,401314
TRAD,26077,software and services,False,TRAD3,ON      NM,3581153
TRIS,21130,real estate,False,TRIS3,ON      NM,4346052
TRPL,18376,electric utilities,False,TRPL3,ON      N1,78902
TTEN,25950,agriculture,False,TTEN3,ON      NM,18149135
TUPY,6343,transportation equipment/diversified,False,TUPY3,ON      NM,29015164
TXRX,7544,fabric. thread and fibers,True,TXRX4,PN,48811
UCAS,22780,home furnishing,False,UCAS3,ON      NM,203730
UGPA,18465,exploration. refining and distribution,False,UGPA3,ON      NM,83582514
UNIP,11592,chemicals - others,False,UNIP3,ON,883042
USIM,14320,steel,False,USIM5,PNA     N1,61369074
VALE,4170,metalic minerals,False,VALE3,ON      NM,1542403664
VAMO,24716,car rental,False,VAMO3,ON      NM,92800755
VBBR,24295,exploration. refining and distribution,False,VBBR3,ON      NM,100579676
VIIA,6505,electronics and household appliance,False,VIIA3,ON      NM,148467235
VITT,25763,fertilizers,False,VITT3,ON      NM,1154923
VIVA,24805,accessories,False,VIVA3,ON      NM,48292085
VIVR,20702,real estate,False,VIVR3,ON      NM,1946648
VIVT,17671,telecommunications,False,VIVT3,ON,84579853
VLID,20028,diversified services,False,VLID3,ON      NM,8180373
